Before,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
26,0.990950226,0.006464124,0.000646412,0.000646412,0,0.000646412,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.991596639,0.006464124,0.000646412,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0
28,0.990950226,0.007110537,0.001292825,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.992889463,0.005171299,0.001292825,0,0,0,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.991596639,0.007110537,0.000646412,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.992889463,0.004524887,0.001939237,0,0,0,0,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0
32,0.993535876,0.005171299,0,0,0.001292825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.990303814,0.008403361,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0
34,0.996121526,0.001939237,0.001292825,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.994828701,0.003232062,0.000646412,0,0,0.000646412,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.990950226,0.007756949,0.000646412,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.996121526,0.00258565,0.000646412,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.994182288,0.004524887,0,0,0,0.000646412,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.992243051,0.006464124,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0
40,0.992889463,0.004524887,0.000646412,0.000646412,0.000646412,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.994828701,0.001939237,0.001939237,0.000646412,0,0,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.996121526,0.001939237,0.000646412,0,0.000646412,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.995475113,0.003878474,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.994182288,0.004524887,0.000646412,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.994182288,0.005171299,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.994828701,0.004524887,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.994828701,0.003878474,0.000646412,0,0,0,0,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0
48,0.996121526,0.003232062,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.995475113,0.001939237,0.001939237,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.992889463,0.005171299,0.001292825,0,0,0,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.996121526,0.001939237,0.000646412,0,0,0,0.000646412,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.994828701,0.003232062,0.000646412,0.000646412,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.994828701,0.005171299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.99741435,0.001292825,0,0,0,0,0.000646412,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.996121526,0.00258565,0,0.000646412,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.99741435,0.001292825,0,0.000646412,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.994828701,0.004524887,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.996121526,0.001939237,0.001292825,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.995475113,0.003232062,0,0,0,0,0,0,0,0.000646412,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0
60,0.995475113,0.00258565,0,0.000646412,0,0.000646412,0,0,0,0,0,0,0.000646412,0,0,0,0,0,0,0,0,0,0,0,0,0
